CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
739128106,POWL,POWELL INDS INC,37182,23768,10.65M,6.81M,+177.2%,2.7%
00214Q807,ARKX,ARK ETF TR,94223,94223,3.21M,3.21M,NEW,0.82%
482480100,KLAC,KLA CORP,6165,5463,1.86M,1.65M,+778.2%,0.48%
04965B100,ATOM,ATOMERA INC,743895,145586,6.48M,1.27M,+24.3%,1.7%
92204A702,VGT,VANGUARD WORLD FD,7410,6480,885.64K,774.49K,+696.8%,0.23%
43849R105,HONA,HONEYWELL AEROSPACE INC,3428,3428,757.86K,757.86K,NEW,0.19%
77926X320,DRAM,ROUNDHILL ETF TRUST,9911,9911,731.93K,731.93K,NEW,0.19%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,3214,3214,549.17K,549.17K,NEW,0.14%
Y2573F102,FLEX,FLEX LTD,2395,2395,388.16K,388.16K,NEW,0.1%
91733P107,USAR,USA RARE EARTH INC,12600,12600,271.91K,271.91K,NEW,0.07%
204166102,CVLT,COMMVAULT SYS INC,1700,1700,240.94K,240.94K,NEW,0.06%
515098101,LSTR,LANDSTAR SYS INC,1124,1124,232.45K,232.45K,NEW,0.06%
98386P102,XE,X-ENERGY INC,12567,12567,230.73K,230.73K,NEW,0.06%
224408104,CR,CRANE COMPANY,1000,1000,223.07K,223.07K,NEW,0.06%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,689,689,218.78K,218.78K,NEW,0.06%
32051X108,FHB,FIRST HAWAIIAN INC,7463,7463,218.67K,218.67K,NEW,0.06%
369604301,GE,GE AEROSPACE,574,574,214.52K,214.52K,NEW,0.05%
615394202,MOGA,MOOG INC,500,500,211.92K,211.92K,NEW,0.05%
78464A581,XHE,SPDR SERIES TRUST,2500,2500,210.57K,210.57K,NEW,0.05%
458140100,INTC,INTEL CORP,1472,1472,205.6K,205.6K,NEW,0.05%
G65163100,JOBY,JOBY AVIATION INC,55200,23000,492.38K,205.16K,+71.4%,0.13%
33740U885,FAPR,FIRST TR EXCHNG TRADED FD VI,4320,4320,201.92K,201.92K,NEW,0.05%
86765K109,SUN,SUNOCO LP/SUNOCO FIN CORP,2982,2982,201.28K,201.28K,NEW,0.05%
002824100,ABT,ABBOTT LABORATORIES,4267,2000,387.19K,181.48K,+88.2%,0.1%
81762P102,NOW,SERVICENOW INC,18965,1400,1.88M,138.99K,+8%,0.48%
17248W303,CING,CINGULATE INC,30000,20000,164.1K,109.4K,+200%,0.04%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,33823,2600,1.4M,107.93K,+8.3%,0.36%
00039J103,YEAR,AB ACTIVE ETFS INC,16257,2006,818.39K,100.98K,+14.1%,0.21%
02156V109,OKLO,OKLO INC,9251,851,484.11K,44.53K,+10.1%,0.12%
45817G201,IDN,INTELLICHECK MOBILISA INC,10000,10000,41K,41K,NEW,0.01%
04010E109,AGX,ARGAN INC,688,40,549.4K,31.94K,+6.2%,0.14%
664925708,ESN,NORTHERN LTS FD TR II,63238,1238,1.26M,24.62K,+2%,0.32%
33738R704,AIRR,FIRST TR EXCHANGE TRADED FD,5315,149,708.22K,19.85K,+2.9%,0.18%
19260Q107,COIN,COINBASE GLOBAL INC,1690,100,247.06K,14.62K,+6.3%,0.06%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,14902,164,1.32M,14.53K,+1.1%,0.34%
78433H634,IWMI,NEOS ETF TRUST,7226,226,386.74K,12.1K,+3.2%,0.1%
300426103,ECG,EVERUS CONSTR GROUP,16052,0,2.66M,0,NO CHANGE,0.68%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,4531,0,1.27M,0,NO CHANGE,0.33%
74164M108,PRI,PRIMERICA INC,4470,0,1.27M,0,NO CHANGE,0.33%
75524B104,RBC,RBC BEARINGS INC,1750,0,1.13M,0,NO CHANGE,0.29%
126408103,CSX,CSX CORP,23458,0,1.11M,0,NO CHANGE,0.29%
882508104,TXN,TEXAS INSTRS INC,2990,0,891.37K,0,NO CHANGE,0.23%
025816109,AXP,AMERICAN EXPRESS CO,2190,0,740.77K,0,NO CHANGE,0.19%
60786M105,MC,MOELIS & CO,11314,0,740.18K,0,NO CHANGE,0.19%
92189F676,SMH,VANECK ETF TRUST,1094,0,717.54K,0,NO CHANGE,0.18%
629377508,NRG,NRG ENERGY INC,4867,0,710.87K,0,NO CHANGE,0.18%
78467X109,DIA,STATE STR SPDR DOW JONES IND,1352,0,706.27K,0,NO CHANGE,0.18%
595112103,MU,MICRON TECHNOLOGY INC,606,0,699.5K,0,NO CHANGE,0.18%
859241101,STRL,STERLING INFRASTRUCTURE INC,799,0,670.65K,0,NO CHANGE,0.17%
00039J830,SYFI,AB ACTIVE ETFS INC,18366,0,655.94K,0,NO CHANGE,0.17%
636274409,NGG,NATIONAL GRID PLC,7865,0,651.75K,0,NO CHANGE,0.17%
82982T106,SITM,SITIME CORP,834,0,621.8K,0,NO CHANGE,0.16%
745867101,PHM,PULTE GROUP INC,4513,0,619.23K,0,NO CHANGE,0.16%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,2470,0,535K,0,NO CHANGE,0.14%
562750109,MANH,MANHATTAN ASSOCIATES INC,3795,0,528.45K,0,NO CHANGE,0.14%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,2041,0,510.21K,0,NO CHANGE,0.13%
816850101,SMTC,SEMTECH CORP,3050,0,493.64K,0,NO CHANGE,0.13%
G8994E103,TT,TRANE TECHNOLOGIES PLC,995,0,488.7K,0,NO CHANGE,0.13%
22160K105,COST,COSTCO WHOLESALE CORPORATION,450,0,420.89K,0,NO CHANGE,0.11%
29772L108,ETON,ETON PHARMACEUTICALS INC,11500,0,416.3K,0,NO CHANGE,0.11%
33735B108,FNX,FIRST TR EXCHANGE-TRADED ALP,2741,0,401.14K,0,NO CHANGE,0.1%
33738R811,FTXL,FIRST TR EXCHANGE TRADED FD,1381,0,393.52K,0,NO CHANGE,0.1%
48282T104,KAI,KADANT INC,1229,0,386.19K,0,NO CHANGE,0.1%
166764100,CVX,CHEVRON CORPORATION,2327,0,385.72K,0,NO CHANGE,0.1%
655844108,NSC,NORFOLK SOUTHN CORP,1206,0,379.34K,0,NO CHANGE,0.1%
829073105,SSD,SIMPSON MFG INC,1811,0,379.13K,0,NO CHANGE,0.1%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,2046,0,374.64K,0,NO CHANGE,0.1%
907818108,UNP,UNION PAC CORP,1278,0,347.62K,0,NO CHANGE,0.09%
33734X176,FXL,FIRST TR EXCHANGE-TRADED FD,1500,0,325.83K,0,NO CHANGE,0.08%
21873S108,CRWV,COREWEAVE INC,3100,0,308.57K,0,NO CHANGE,0.08%
889478103,TOL,TOLL BROTHERS INC,1843,0,303.63K,0,NO CHANGE,0.08%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,2406,0,296.06K,0,NO CHANGE,0.08%
33740F862,FAUG,FIRST TR EXCHNG TRADED FD VI,5200,0,293.83K,0,NO CHANGE,0.08%
891092108,TTC,TORO CO,3006,0,292.85K,0,NO CHANGE,0.08%
55024U109,LITE,LUMENTUM HLDGS INC,326,0,279.73K,0,NO CHANGE,0.07%
452308109,ITW,ILLINOIS TOOL WKS INC,1022,0,276.45K,0,NO CHANGE,0.07%
33740U208,FJUL,FIRST TR EXCHNG TRADED FD VI,4400,0,261.98K,0,NO CHANGE,0.07%
375558103,GILD,GILEAD SCIENCES INC,2034,0,256.98K,0,NO CHANGE,0.07%
14040H105,COF,CAPITAL ONE FINL CORP,1259,0,252.59K,0,NO CHANGE,0.06%
27828N102,ETY,EATON VANCE TAX-MANAGED DIVE,15000,0,218.1K,0,NO CHANGE,0.06%
33740F722,FJUN,FIRST TR EXCHNG TRADED FD VI,3600,0,215.82K,0,NO CHANGE,0.06%
760759100,RSG,REPUBLIC SVCS INC,1000,0,213.08K,0,NO CHANGE,0.05%
01881G106,AB,ALLIANCEBERNSTEIN HLDG L P,5700,0,200.75K,0,NO CHANGE,0.05%
530158104,USA,LIBERTY ALL STAR EQUITY FD,16715,0,97.11K,0,NO CHANGE,0.02%
46625H100,JPM,JPMORGAN CHASE & CO,3438,-10,1.13M,-3.27K,-0.3%,0.29%
726503105,PAA,PLAINS ALL AMERN PIPELINE L,9580,-180,213.25K,-4.01K,-1.8%,0.05%
85529M104,FJET,STARFIGHTERS SPACE INC,12000,-1500,63.84K,-7.98K,-11.1%,0.02%
02079K305,GOOGL,ALPHABET INC,11859,-25,4.24M,-8.93K,-0.2%,1.1%
79466L302,CRM,SALESFORCE INC,2627,-80,411.55K,-12.53K,-3%,0.11%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,4600,-100,795.94K,-17.3K,-2.1%,0.2%
863667101,SYK,STRYKER CORPORATION,710,-72,223.54K,-22.67K,-9.2%,0.06%
437076102,HD,HOME DEPOT INC,11544,-69,4.07M,-24.33K,-0.6%,1%
M70700105,NNOX,NANO X IMAGING LTD,0,-11000,0,-24.97K,CLOSE,0%
291011104,EMR,EMERSON ELEC CO,1705,-176,244.07K,-25.19K,-9.4%,0.06%
35671D857,FCX,FREEPORT MCMORAN INC,13976,-411,878.95K,-25.85K,-2.9%,0.23%
H17182108,CRSP,CRISPR THERAPEUTICS AG,5800,-500,316.33K,-27.27K,-7.9%,0.08%
94106L109,WM,WASTE MGMT INC DEL,1233,-123,274.81K,-27.41K,-9.1%,0.07%
009158106,APD,AIR PRODUCTS AND CHEMICALS I,1630,-99,477.88K,-29.02K,-5.7%,0.12%
75513E101,RTX,RTX CORPORATION,11149,-172,2.12M,-32.63K,-1.5%,0.54%
942749102,WTS,WATTS WATER TECHNOLOGIES INC,2183,-86,854.53K,-33.66K,-3.8%,0.22%
879360105,TDY,TELEDYNE TECHNOLOGIES INC,1730,-51,1.15M,-34.01K,-2.9%,0.3%
773903109,ROK,ROCKWELL AUTOMATION INC,2621,-69,1.3M,-34.16K,-2.6%,0.33%
00287Y109,ABBV,ABBVIE INC,2092,-146,526.43K,-36.74K,-6.5%,0.13%
58933Y105,MRK,MERCK & CO INC,2700,-295,346.95K,-37.91K,-9.8%,0.09%
219350105,GLW,CORNING INC,8280,-157,2.11M,-40.1K,-1.9%,0.54%
038222105,AMAT,APPLIED MATLS INC,1586,-59,1.15M,-42.66K,-3.6%,0.29%
478160104,JNJ,JOHNSON & JOHNSON,1270,-171,322.54K,-43.43K,-11.9%,0.08%
149123101,CAT,CATERPILLAR INC,325,-41,346.09K,-43.66K,-11.2%,0.09%
46090E103,QQQ,INVESCO QQQ TR,2792,-60,2.06M,-44.18K,-2.1%,0.53%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,999,-168,290.3K,-48.82K,-14.4%,0.07%
009066101,ABNB,AIRBNB INC,2307,-343,330.15K,-49.09K,-12.9%,0.08%
65339F101,NEE,NEXTERA ENERGY INC,11080,-660,972.49K,-57.93K,-5.6%,0.25%
88339P101,REAL,THE REALREAL INC,128506,-5000,1.52M,-58.95K,-3.7%,0.39%
942622200,WSO,WATSCO INC,890,-148,370.69K,-61.64K,-14.3%,0.1%
529900102,ASG,LIBERTY ALL-STAR GROWTH FD I,0,-13000,0,-61.75K,CLOSE,0%
92826C839,V,VISA INC,3369,-189,1.16M,-64.85K,-5.3%,0.3%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,1586,-89,1.18M,-66.47K,-5.3%,0.3%
550241103,LUMN,LUMEN TECHNOLOGIES INC,0,-10000,0,-69.5K,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,3919,-150,1.96M,-75.06K,-3.7%,0.5%
33734X846,CIBR,FIRST TR EXCHANGE-TRADED FD,5581,-842,501.43K,-75.65K,-13.1%,0.13%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,44640,-2089,1.64M,-76.79K,-4.5%,0.42%
666807102,NOC,NORTHROP GRUMMAN CORP,2545,-193,1.3M,-98.3K,-7%,0.33%
57636Q104,MA,MASTERCARD INCORPORATED,4582,-203,2.35M,-104.26K,-4.2%,0.6%
030420103,AWK,AMERICAN WTR WKS CO INC NEW,2373,-810,312.25K,-106.58K,-25.4%,0.08%
33738R118,TDIV,FIRST TR EXCHANGE TRADED FD,3718,-942,427.12K,-108.22K,-20.2%,0.11%
443573100,HUBS,HUBSPOT INC,3324,-611,606.66K,-111.51K,-15.5%,0.16%
377322102,GKOS,GLAUKOS CORP,2471,-801,345.35K,-111.95K,-24.5%,0.09%
464288752,ITB,ISHARES TR,8120,-1136,848.41K,-118.69K,-12.3%,0.22%
33733E302,FDN,FIRST TR EXCHANGE-TRADED FD,9229,-466,2.44M,-123.36K,-4.8%,0.63%
21037T109,CEG,CONSTELLATION ENERGY CORP,5756,-525,1.43M,-130.39K,-8.4%,0.37%
742718109,PG,PROCTER & GAMBLE CO,3140,-891,460.46K,-130.66K,-22.1%,0.12%
28036F105,EWTX,EDGEWISE THERAPEUTICS INC,113380,-3244,4.61M,-131.8K,-2.8%,1.2%
90364P105,PATH,UIPATH INC,0,-12000,0,-133.2K,CLOSE,0%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,8789,-190,6.71M,-145K,-2.1%,1.7%
26923G707,NFLT,ETFIS SER TR I,12500,-6500,286.88K,-149.18K,-34.2%,0.07%
83422E204,SLDB,SOLID BIOSCIENCES INC,73898,-16333,738.24K,-163.17K,-18.1%,0.19%
00039J707,LRGC,AB ACTIVE ETFS INC,14558,-2000,1.22M,-167.22K,-12.1%,0.31%
11135F101,AVGO,BROADCOM INC,44034,-447,16.63M,-168.86K,-1%,4.3%
68389X105,ORCL,ORACLE CORP,5546,-1181,812.71K,-173.06K,-17.6%,0.21%
00039J806,BUFC,AB ACTIVE ETFS INC,13000,-4100,553.26K,-174.49K,-24%,0.14%
042068205,ARM,ARM HOLDINGS PLC,10475,-500,3.71M,-177.28K,-4.6%,0.95%
67066G104,NVDA,NVIDIA CORPORATION,106382,-972,21.29M,-194.49K,-0.9%,5.5%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,0,-3374,0,-204.63K,CLOSE,0%
33733E203,FBT,FIRST TR EXCHANGE-TRADED FD,2456,-850,608.82K,-210.71K,-25.7%,0.16%
949746101,WFC,WELLS FARGO & CO,0,-2750,0,-218.93K,CLOSE,0%
G5960L103,MDT,MEDTRONIC PLC,0,-2560,0,-221.82K,CLOSE,0%
963320106,WHR,WHIRLPOOL CORP,0,-4120,0,-222.15K,CLOSE,0%
29273V100,ET,ENERGY TRANSFER L P,104048,-12000,1.99M,-229.44K,-10.3%,0.51%
34959E109,FTNT,FORTINET INC,5200,-1505,798.82K,-231.2K,-22.4%,0.2%
302941109,FCN,FTI CONSULTING INC,0,-1340,0,-236.87K,CLOSE,0%
98978V103,ZTS,ZOETIS INC,0,-2064,0,-243.99K,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,0,-777,0,-247.19K,CLOSE,0%
877619106,TSHA,TAYSHA GENE THERAPIES INC,812027,-37185,5.53M,-253.23K,-4.4%,1.4%
92686J106,VKTX,VIKING THERAPEUTICS INC,98365,-6770,3.84M,-264.1K,-6.4%,0.98%
33737A108,GRID,FIRST TR EXCHANGE-TRADED FD,9588,-1432,1.84M,-274.6K,-13%,0.47%
38141G104,GS,GOLDMAN SACHS GROUP INC,0,-330,0,-279.18K,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,9335,-876,3.13M,-293.3K,-8.6%,0.8%
90384S303,ULTA,ULTA BEAUTY INC,1835,-686,827.55K,-309.37K,-27.2%,0.21%
24703L202,DELL,DELL TECHNOLOGIES INC,17540,-750,7.57M,-323.6K,-4.1%,1.9%
747525103,QCOM,QUALCOMM INC,19164,-1850,3.54M,-341.86K,-8.8%,0.91%
30303M102,META,META PLATFORMS INC,45012,-618,25.35M,-348.11K,-1.4%,6.5%
860630102,SF,STIFEL FINL CORP,17351,-5000,1.21M,-348.85K,-22.4%,0.31%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,24594,-3120,2.87M,-364.01K,-11.3%,0.74%
33739E108,FPE,FIRST TR EXCH TRADED FD III,0,-20602,0,-365.69K,CLOSE,0%
88160R101,TSLA,TESLA INC,6543,-902,2.75M,-379.39K,-12.1%,0.71%
501147102,KRYS,KRYSTAL BIOTECH INC,6119,-1062,2.27M,-394.71K,-14.8%,0.58%
526057104,LEN,LENNAR CORP,2535,-4400,229.35K,-398.09K,-63.4%,0.06%
29084Q100,EME,EMCOR GROUP INC,4121,-524,3.42M,-434.86K,-11.3%,0.88%
005098108,GOLF,ACUSHNET HLDGS CORP,7683,-4000,910.67K,-474.12K,-34.2%,0.23%
833445109,SNOW,SNOWFLAKE INC,18348,-2050,4.67M,-521.71K,-10.1%,1.2%
23804L103,DDOG,DATADOG INC,10257,-2075,2.67M,-540.25K,-16.8%,0.68%
594918104,MSFT,MICROSOFT CORP,41168,-1467,15.36M,-547.23K,-3.4%,3.9%
697435105,PANW,PALO ALTO NETWORKS INC,12103,-1819,4.13M,-620.34K,-13.1%,1.1%
88322Q108,TGTX,TG THERAPEUTICS INC,86008,-12900,4.73M,-708.73K,-13%,1.2%
74762E102,PWR,QUANTA SVCS INC,2796,-1020,2.01M,-734.49K,-26.7%,0.52%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,13188,-1565,6.3M,-747.4K,-10.6%,1.6%
64110L106,NFLX,NETFLIX INC.,68840,-10500,4.92M,-749.7K,-13.2%,1.3%
438516205,HON,HONEYWELL INTL INC,3428,-3467,796.02K,-805.14K,-50.3%,0.2%
00039J509,FWD,AB ACTIVE ETFS INC,73382,-8001,10.87M,-1.19M,-9.8%,2.8%
037833100,AAPL,APPLE INC,101104,-4967,29.26M,-1.44M,-4.7%,7.5%
023135106,AMZN,AMAZON COM INC,117778,-7378,28.07M,-1.76M,-5.9%,7.2%
02079K107,GOOG,ALPHABET INC,43613,-5292,15.41M,-1.87M,-10.8%,3.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,28598,-3519,16.61M,-2.04M,-11%,4.3%
573874104,MRVL,MARVELL TECHNOLOGY INC,27360,-7137,8.15M,-2.13M,-20.7%,2.1%
